"base_var","all_lags_grouped_steps","proportion_all_grouped","some_lags_grouped_steps","proportion_some_grouped","total_steps","filename","type","dataset","h","w"
"DNRGRC1M027SBEA",0,0,0,0,65,"nowcast_full_w66.RData","nowcast","full",NA,66
"CPILFESL",0,0,0,0,65,"nowcast_full_w66.RData","nowcast","full",NA,66
"RSAFS",0,0,0,0,65,"nowcast_full_w66.RData","nowcast","full",NA,66
"HSN1F",4,0.0615384615384615,0,0,65,"nowcast_full_w66.RData","nowcast","full",NA,66
"HOUST",0,0,0,0,65,"nowcast_full_w66.RData","nowcast","full",NA,66
"PERMIT",4,0.0615384615384615,0,0,65,"nowcast_full_w66.RData","nowcast","full",NA,66
"UNRATE",0,0,0,0,65,"nowcast_full_w66.RData","nowcast","full",NA,66
"PAYEMS",0,0,0,0,65,"nowcast_full_w66.RData","nowcast","full",NA,66
"INDPRO",0,0,0,0,65,"nowcast_full_w66.RData","nowcast","full",NA,66
"BUSINV",4,0.0615384615384615,2,0.0307692307692308,65,"nowcast_full_w66.RData","nowcast","full",NA,66
"DSPIC96",0,0,0,0,65,"nowcast_full_w66.RData","nowcast","full",NA,66
"ULCNFB",0,0,0,0,65,"nowcast_full_w66.RData","nowcast","full",NA,66
"GDP",0,0,0,0,65,"nowcast_full_w66.RData","nowcast","full",NA,66
"NFCI",12,0.461538461538462,0,0,26,"nowcast_reduced_w105.RData","nowcast","reduced",NA,105
"ICSA",3,0.115384615384615,9,0.346153846153846,26,"nowcast_reduced_w105.RData","nowcast","reduced",NA,105
"AMTMNO",25,0.961538461538462,1,0.0384615384615385,26,"nowcast_reduced_w105.RData","nowcast","reduced",NA,105
"CPIAUCSL",0,0,0,0,26,"nowcast_reduced_w105.RData","nowcast","reduced",NA,105
"RSAFS",1,0.0384615384615385,0,0,26,"nowcast_reduced_w105.RData","nowcast","reduced",NA,105
"HOUST",9,0.346153846153846,0,0,26,"nowcast_reduced_w105.RData","nowcast","reduced",NA,105
"PERMIT",17,0.653846153846154,0,0,26,"nowcast_reduced_w105.RData","nowcast","reduced",NA,105
"UNRATE",10,0.384615384615385,15,0.576923076923077,26,"nowcast_reduced_w105.RData","nowcast","reduced",NA,105
"PAYEMS",7,0.269230769230769,15,0.576923076923077,26,"nowcast_reduced_w105.RData","nowcast","reduced",NA,105
"INDPRO",7,0.269230769230769,2,0.0769230769230769,26,"nowcast_reduced_w105.RData","nowcast","reduced",NA,105
"GDP",0,0,0,0,26,"nowcast_reduced_w105.RData","nowcast","reduced",NA,105
"NFCI",59,0.907692307692308,0,0,65,"nowcast_reduced_w66.RData","nowcast","reduced",NA,66
"ICSA",2,0.0307692307692308,10,0.153846153846154,65,"nowcast_reduced_w66.RData","nowcast","reduced",NA,66
"AMTMNO",47,0.723076923076923,3,0.0461538461538462,65,"nowcast_reduced_w66.RData","nowcast","reduced",NA,66
"CPIAUCSL",0,0,0,0,65,"nowcast_reduced_w66.RData","nowcast","reduced",NA,66
"RSAFS",5,0.0769230769230769,0,0,65,"nowcast_reduced_w66.RData","nowcast","reduced",NA,66
"HOUST",27,0.415384615384615,0,0,65,"nowcast_reduced_w66.RData","nowcast","reduced",NA,66
"PERMIT",38,0.584615384615385,0,0,65,"nowcast_reduced_w66.RData","nowcast","reduced",NA,66
"UNRATE",48,0.738461538461539,4,0.0615384615384615,65,"nowcast_reduced_w66.RData","nowcast","reduced",NA,66
"PAYEMS",30,0.461538461538462,0,0,65,"nowcast_reduced_w66.RData","nowcast","reduced",NA,66
"INDPRO",13,0.2,2,0.0307692307692308,65,"nowcast_reduced_w66.RData","nowcast","reduced",NA,66
"GDP",0,0,0,0,65,"nowcast_reduced_w66.RData","nowcast","reduced",NA,66
